store_name,address,newAddress
인천공항탑승동105gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68  ,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68
석촌호수점,서울시 송파구 석촌호수로 222 제이타워 1층  ,서울특별시 송파구 석촌호수로 222 제이타워 1층
오목교역사거리점,"서울시 양천구 오목로 350 목동썬텍씨티빌딩 1층,2층  ","서울특별시 양천구 오목로 350 목동썬텍씨티빌딩 1층,2층"
이천하이닉스점,경기 이천시 부발읍 하이닉스반도체  ,경기도 이천시 부발읍 하이닉스반도체
송도홈플러스점,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층  ,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층
올림픽공원북2문앞점,서울시 강동구 강동대로193 1층  ,서울특별시 강동구 강동대로193 1층
삼성역글라스타워뒷점,서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층  ,서울특별시 강남구 영동대로85길 9 (대치동) 서전빌딩1층
범계역로데오점,경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층  ,경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층
포스코옆삼성로86길점,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층  ,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층
상암한국지역정보개발원점,서울시 마포구 성암로301 KLID한국지역정보개발원 1층  ,서울특별시 마포구 성암로301 KLID한국지역정보개발원 1층
분당정자점,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층  ,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층
신논현역점,서울특별시 강남구 봉은사로108 글라스톤빌딩1층  ,서울특별시 강남구 봉은사로108 글라스톤빌딩1층
강서그랜드아이파크점,서울시 강서구 화곡6동 1095번지 1층  ,서울특별시 강서구 화곡6동 1095번지 1층
장안점,"서울시 동대문구 장안동 372-1, 1층 일부 및 2층 전체  ","서울특별시 동대문구 장안동 372-1, 1층 일부 및 2층 전체"
수원망포역점,경기도 수원시 영통구 영통로 214번길 8 1층  ,경기도 수원시 영통구 영통로 214번길 8 1층
