store_name,address,newAddress,_GC_TYPE,_CLEANADDR,_X,_Y
국기원사거리점,서울시 강남구 테헤란로 8길 42 1층,서울특별시 강남구 테헤란로 8길 42 1층,정,서울특별시 강남구 테헤란로8길 42 (역삼동),127.03217418723618,37.49616822633509
무교CBTL점,서울 중구 세종대로 136 파이낸스빌딩 지하2층,서울특별시 중구 세종대로 136 파이낸스빌딩 지하2층,정,서울특별시 중구 세종대로 136 (태평로1가),126.97828394815296,37.56841437177363
코엑스인터점,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,서울특별시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,정,서울특별시 강남구 봉은사로 524 (삼성동),127.05711615238548,37.5129526305153
서울대입구역점,"서울시 관악구 관악로 161 층일부 2,3층","서울특별시 관악구 관악로 161 층일부 2,3층",정,서울특별시 관악구 관악로 161 (봉천동),126.95218405627111,37.47960827311408
대학로마로니에점,"서울시 종로구 대학로 12길 62 지하1층,지상1,2층","서울특별시 종로구 대학로 12길 62 지하1층,지상1,2층",정,서울특별시 종로구 대학로12길 62 (동숭동),127.00372105119072,37.581406212290176
선릉로93길점,서울시 강남구 선릉로93길 6(역삼동) 1층,서울특별시 강남구 선릉로93길 6(역삼동) 1층,정,서울특별시 강남구 선릉로93길 6 (역삼동),127.04789990592155,37.505685074151906
뉴압구정점,서울시 강남구 논현로 167길 9 낙산프라자 1층,서울특별시 강남구 논현로 167길 9 낙산프라자 1층,정,서울특별시 강남구 논현로167길 9 (신사동),127.02742806733231,37.52440210023841
테헤란로비젼타워점,서울시 강남구 테헤란로 312 707-2번지1층,서울특별시 강남구 테헤란로 312 707-2번지1층,유,서울특별시 강남구 테헤란로 312 (역삼동),127.04503372715884,37.502964466593724
디큐브시티점,서울시 구로구 경인로 662 디큐브시티 4층,서울특별시 구로구 경인로 662 디큐브시티 4층,정,서울특별시 구로구 경인로 662 (신도림동),126.88925698922523,37.508845568793326
선릉로86길점,서울시 강남구 선릉로86길 11,서울특별시 강남구 선릉로86길 11,정,서울특별시 강남구 선릉로86길 11 (대치동),127.05058691656247,37.503404937225
강남역먹자골목점,서울시 강남구 테헤란로1길 29 1층일부 및 2.3층,서울특별시 강남구 테헤란로1길 29 1층일부 및 2.3층,정,서울특별시 강남구 테헤란로1길 29 (역삼동),127.02729181991376,37.50011508138292
현대자동차여의도점,서울시 영등포구 국제금융로 20 1층,서울특별시 영등포구 국제금융로 20 1층,정,서울특별시 영등포구 국제금융로 20 (여의도동),126.92729734506698,37.5248884349813
IFC MALL2호점,서울시 영등포구 국제금융로10 IFC Mall L2,서울특별시 영등포구 국제금융로10 IFC Mall L2,정,서울특별시 영등포구 국제금융로 10 (여의도동),126.92593688056672,37.52505839670233
안국역점,"서울시 종로구 율곡로 47 1,2층","서울특별시 종로구 율곡로 47 1,2층",유,서울특별시 종로구 율곡로 47 (안국동),126.98458775537813,37.5763388699383
현대자동차남양연구소점,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F,경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F,정,경기도 화성시 현대연구소로 150 (남양읍),126.81523265628222,37.15853615738945
상암SBS미디어센터점,서울시 마포구 상암산로 82 SBS프리즘타워 1층,서울특별시 마포구 상암산로 82 SBS프리즘타워 1층,정,서울특별시 마포구 상암산로 82 (상암동),126.89277394675159,37.57971592230447
현대자동차성내점,"서울시 강동구 천호대로 1096 1,2F","서울특별시 강동구 천호대로 1096 1,2F",유,서울특별시 강동구 천호대로 1096 (성내동),127.13324965237065,37.5352213929117
뉴교보타워옆점,"서울시 서초구 강남대로 449-3 알고코리아빌딩 1,2층","서울특별시 서초구 강남대로 449-3 알고코리아빌딩 1,2층",정,서울특별시 서초구 강남대로 449-3 (서초동),127.02488012974307,37.50235452841711
수원인계점,경기도 수원시 팔달구 권광로 195 학산빌딩1층,경기도 수원시 팔달구 권광로 195 학산빌딩1층,정,경기도 수원시 팔달구 권광로 195 (인계동),127.03268782912568,37.26496108417198
압구정현대아파트점,서울시 강남구 압구정로29길65 지하1층,서울특별시 강남구 압구정로29길65 지하1층,정,서울특별시 강남구 압구정로29길 65 (압구정동),127.02700144529865,37.53180776151517
서초뱅뱅사거리점,"서울시 서초구 강남대로 267 2,3층","서울특별시 서초구 강남대로 267 2,3층",유,서울특별시 서초구 강남대로 267 (서초동),127.03233409153884,37.48716484737309
